"","name","sf1","sf2","sf3","sf4"
"1","(Intercept)",0,0,0,0
"2","sentiment_prob_pos",7.47868597577838e-66,2.81609947344156e-116,7.34934903346995e-60,5.02035871391548e-58
"3","sentiment_prob_neg",1.02236118821888e-15,4.01722634451793e-15,2.29922339991096e-10,6.37802046771495e-13
"4","lexdiv_cttr",0,0,0,0
"5","num_punct",1.62500119352603e-129,3.84808904757973e-118,2.95991675874674e-135,2.62892825788358e-126
"6","num_sentences",9.20447823132006e-45,4.59512269110035e-31,5.53670715141052e-11,6.68177971118848e-10
"7","SMOG_readability",1.94927611427197e-168,1.62362138650726e-153,4.98085011362457e-99,1.24821021734336e-95
"8","second_personTRUE",3.74057334374982e-67,9.3830512277585e-77,2.19695046331922e-22,6.90638153385715e-20
"9","user_follower",0,0,0,0
"10","is_root_commentTRUE",9.83839985344396e-136,0.0169686073987368,0.000171125601187196,9.17770177184136e-05
"11","level_in_tree",0,0,0,0
"12","cosine_1",0.00264385338103273,0.493727210090236,0.00019415574674327,5.84081687336724e-06
"13","hours_since_article",0,0,0,0
"14","votes_pos_mean",0,0,0,0
"15","votes_neg_mean",0,0,1.92078736895653e-291,9.29759948381234e-147
"16","article_comments",4.03546588521212e-211,4.81622686069055e-39,1.27101847087085e-36,1.14779405687292e-36
"17","factor(genre1)/diestandard",1.8387693217324e-96,1.83327183987527e-95,3.27768074256028e-54,7.99712852984929e-54
"18","factor(genre1)/diskurs",0,0,0,0
"19","factor(genre1)/etat",0.00064892246304611,2.5050560813158e-05,4.21172015928491e-07,1.57371147442796e-06
"20","factor(genre1)/international",3.47244187247768e-75,7.31263315510334e-81,2.8819903339195e-18,1.83925752059197e-20
"21","factor(genre1)/kultur",2.59154321008725e-60,1.87435207504932e-61,1.85514446966897e-50,8.24571181599602e-50
"22","factor(genre1)/lifestyle",0,0,2.88752219347128e-271,2.49284110520637e-275
"23","factor(genre1)/panorama",0,0,1.8096357019231e-174,7.30788364497056e-176
"24","factor(genre1)/podcast",0.00288543962470629,0.000100012661951144,0.0147924797041558,0.0245961573150922
"25","factor(genre1)/recht",6.54442355102987e-56,1.44956529221099e-50,1.22439588696364e-27,3.14621505362175e-28
"26","factor(genre1)/sport",5.18437093576786e-203,1.04097548020213e-188,5.25275247161491e-110,3.37994055610721e-119
"27","factor(genre1)/video",1.45443011274623e-94,1.51267468213201e-83,5.07397116087373e-51,9.21392974649793e-51
"28","factor(genre1)/web",5.33620205108296e-140,3.33078519350266e-96,8.8152032847372e-35,9.29823437652409e-39
"29","factor(genre1)/wirtschaft",1.87236707259947e-09,4.60584413136998e-15,0.0870871064630277,0.0449836605425439
"30","factor(genre1)/wissenschaft",1.21675348301135e-124,9.46481631944067e-95,5.75847254473679e-46,1.26469629524583e-49
"31","is_leaf_commentTRUE",NA,NA,0,0
"32","size_of_tree",NA,NA,0,0
"33","height_of_tree",NA,NA,9.15152871483467e-28,1.0381077882612e-25
"34","all_replies",NA,NA,2.01434315002651e-24,7.20007762346321e-44
"35","pinned_fTRUE",NA,0,0,0
"36","votes_neg_log",NA,NA,NA,2.87721596007318e-228
