"","name","sf1","sf2","sf3","sf4"
"1","(Intercept)",0,0,5.08191811540304e-62,1.17897385583881e-61
"2","sentiment_prob_pos",2.3932038846228e-160,6.59239490166231e-187,1.11403226428729e-70,6.2220485049044e-71
"3","sentiment_prob_neg",3.05998562196723e-43,9.03437451383312e-45,9.35964422656571e-79,1.17399355750262e-78
"4","lexdiv_cttr",5.14731728525271e-274,8.63432346029148e-261,1.20163671971099e-82,1.30113862899653e-83
"5","num_punct",6.13299516026471e-206,8.69901578407583e-208,2.11472766620638e-237,3.00930384356335e-238
"6","num_sentences",3.20418805571394e-93,2.74334988073799e-77,1.83130401717225e-27,1.31549288247839e-27
"7","SMOG_readability",1.273525148698e-93,2.22758232006232e-81,3.22703368503475e-30,1.91157105332575e-30
"8","second_personTRUE",0,8.05871801283233e-304,4.91666883000449e-241,4.84935931325975e-241
"9","user_follower",1.49336080788457e-272,1.51127797846156e-292,3.16943661061737e-240,4.57560595813312e-237
"10","is_root_commentTRUE",0,0,3.65668072771828e-23,1.05366595263751e-23
"11","level_in_tree",0,0,0,0
"12","cosine_1",1.07752621115268e-74,9.89976875520234e-70,8.92201041676207e-32,7.96913765569068e-32
"13","hours_since_article",0,0,0,0
"14","votes_pos_mean",5.58809147494196e-13,2.40997334327962e-21,2.39004493711985e-17,1.23462851948379e-16
"15","votes_neg_mean",0,0,0,0
"16","article_comments",0.497122274950763,4.79157646032702e-07,2.32754281032285e-210,5.11025275179289e-210
"17","factor(genre1)/diestandard",8.14091718392889e-45,8.93640372755543e-38,2.19270725882228e-16,1.68222133940925e-16
"18","factor(genre1)/diskurs",2.43073120203412e-18,1.07322829741945e-16,8.32178231615613e-06,7.42927124355625e-06
"19","factor(genre1)/etat",1.09043982259159e-13,2.57803276269404e-18,3.82954112294944e-09,3.96156388088523e-09
"20","factor(genre1)/international",0.00448396755330156,4.5987214505254e-06,8.24886177096874e-21,5.43207301392041e-21
"21","factor(genre1)/kultur",0.000865879599367595,5.37904226339059e-05,0.00526846673476369,0.00544900661312767
"22","factor(genre1)/lifestyle",9.02585028859385e-38,6.59187394113593e-36,0.1095505196779,0.0903390514089233
"23","factor(genre1)/panorama",6.36049907439189e-37,7.19750276942989e-34,0.335619929853157,0.360321881646009
"24","factor(genre1)/podcast",0.0918637417091261,0.0610354446687566,0.0573710723373943,0.0599482371965316
"25","factor(genre1)/recht",1.16859525850751e-12,2.46324701872537e-12,0.00440378833149186,0.00411728292981864
"26","factor(genre1)/sport",1.43340117325398e-25,7.46737903987288e-27,0.338467496187697,0.374268638589336
"27","factor(genre1)/video",2.1924184720071e-10,1.74702178455994e-09,0.530557891086778,0.500230170069652
"28","factor(genre1)/web",1.10567774112751e-14,3.21923486536748e-10,1.13788612180141e-11,9.80719581769751e-12
"29","factor(genre1)/wirtschaft",8.57211900964733e-06,7.88533745053455e-07,0.446197442794252,0.452903700115055
"30","factor(genre1)/wissenschaft",0.000516600023021733,0.00130917524906412,1.5887432633443e-11,1.24471797454678e-11
"31","is_leaf_commentTRUE",NA,NA,0,0
"32","size_of_tree",NA,NA,0,0
"33","height_of_tree",NA,NA,4.95097499048369e-51,1.19662297883315e-50
"34","all_replies",NA,NA,1.24299150649343e-259,1.27692746697971e-257
"35","pinned_fTRUE",NA,0,6.38205676904375e-224,4.12023486880535e-223
"36","votes_pos_log",NA,NA,NA,0.00230121132485059
